                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.026,                 1.4572,                 1.4785,                0.04876,                0.17595,                0.02375,                0.00607,                 3.1671,                 84.031,                 6.4859,             0.00066162,             0.00066162,             0.00066162
                      2,                 1.3216,                 1.5418,                 1.6928,                0.24648,                0.31966,                0.16635,                 0.0661,                 2.0559,                 3.9425,                 2.7512,               0.001302,               0.001302,               0.001302
                      3,                 1.2558,                 1.4575,                 1.6429,                 0.3803,                0.42183,                0.30477,                0.13137,                 1.8543,                 2.9287,                 2.5045,              0.0019159,              0.0019159,              0.0019159
                      4,                 1.1854,                 1.3925,                 1.5991,                0.58135,                0.49381,                0.45665,                0.24937,                 1.5254,                 1.8223,                 2.1105,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.1312,                 1.3344,                 1.5532,                0.63757,                0.50671,                 0.4982,                0.30376,                 1.4237,                 1.6101,                 1.9734,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0678,                  1.255,                 1.5084,                0.55653,                0.49407,                0.49135,                0.29564,                 1.3651,                 1.8208,                 1.8582,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0109,                 1.2058,                 1.4693,                0.60066,                0.49207,                0.51828,                0.32216,                 1.3475,                 1.6001,                 1.8353,               0.001802,               0.001802,               0.001802
                      8,                0.99975,                 1.1752,                 1.4534,                0.66299,                0.52941,                0.56698,                0.37952,                 1.2081,                 1.4374,                 1.7367,              0.0017624,              0.0017624,              0.0017624
                      9,                0.95374,                 1.1352,                 1.4246,                 0.6598,                0.56863,                0.58863,                0.39348,                 1.1961,                 1.3791,                 1.7397,              0.0017228,              0.0017228,              0.0017228
                     10,                0.93109,                 1.0977,                 1.4069,                0.69011,                 0.5596,                0.60425,                0.41059,                 1.1328,                 1.3459,                 1.6331,              0.0016832,              0.0016832,              0.0016832
                     11,                0.89617,                   1.08,                  1.387,                 0.6771,                 0.5743,                0.60228,                0.40769,                 1.1603,                 1.2728,                 1.6768,              0.0016436,              0.0016436,              0.0016436
                     12,                0.89013,                 1.0636,                 1.3778,                0.69792,                0.56865,                0.62404,                0.42757,                 1.1147,                 1.2539,                 1.6287,               0.001604,               0.001604,               0.001604
                     13,                0.86328,                 1.0325,                 1.3562,                0.68327,                0.56326,                 0.6092,                0.42897,                 1.0702,                 1.2872,                  1.603,              0.0015644,              0.0015644,              0.0015644
                     14,                0.85049,                 1.0149,                 1.3496,                0.68582,                0.57725,                0.61628,                0.42832,                 1.0586,                 1.2971,                 1.5834,              0.0015248,              0.0015248,              0.0015248
                     15,                0.84835,                 1.0127,                 1.3458,                0.63931,                0.54618,                0.59104,                0.40335,                 1.0783,                 1.3515,                 1.5858,              0.0014852,              0.0014852,              0.0014852
                     16,                0.82016,                0.97842,                 1.3318,                0.72948,                0.58926,                0.65405,                0.46752,                 1.0034,                 1.1363,                 1.5084,              0.0014456,              0.0014456,              0.0014456
                     17,                0.81374,                0.97421,                 1.3251,                0.71275,                 0.5928,                0.64984,                0.46402,                 1.0231,                 1.1889,                 1.5477,               0.001406,               0.001406,               0.001406
                     18,                0.81784,                0.96921,                 1.3186,                0.72349,                 0.5854,                 0.6384,                0.46186,                 1.0095,                 1.2414,                 1.5299,              0.0013664,              0.0013664,              0.0013664
                     19,                0.80264,                0.96251,                  1.317,                0.71568,                 0.5596,                0.64504,                0.46529,                0.98289,                 1.2025,                 1.4917,              0.0013268,              0.0013268,              0.0013268
                     20,                0.78302,                0.91889,                 1.2975,                0.73817,                0.59004,                0.64956,                0.47552,                0.97168,                 1.1406,                 1.4841,              0.0012872,              0.0012872,              0.0012872
                     21,                0.77744,                0.91399,                 1.2928,                0.70003,                0.59727,                0.65264,                0.47587,                0.94374,                  1.284,                 1.4374,              0.0012476,              0.0012476,              0.0012476
                     22,                0.77182,                0.90608,                 1.2853,                0.73459,                 0.6112,                0.67264,                0.48755,                0.94862,                 1.0868,                 1.4689,               0.001208,               0.001208,               0.001208
                     23,                0.75703,                0.90839,                 1.2759,                0.69697,                0.60114,                0.66188,                0.48712,                0.94049,                 1.1285,                 1.4439,              0.0011684,              0.0011684,              0.0011684
                     24,                0.74456,                0.88192,                 1.2733,                0.74087,                0.59881,                0.67836,                0.50985,                0.88791,                 1.0606,                 1.4001,              0.0011288,              0.0011288,              0.0011288
                     25,                0.73236,                0.86982,                 1.2573,                0.73146,                0.61326,                0.67855,                0.50474,                0.90162,                  1.059,                 1.4209,              0.0010892,              0.0010892,              0.0010892
